campaign_id,sqlite_version,run,cve_id,found,evidence
sqlite-3.30.1_v35_run1,3.30.1,1,CVE-2020-13871,N/A,wrong_version
sqlite-3.30.1_v35_run1,3.30.1,1,CVE-2020-13434,no,
sqlite-3.30.1_v35_run1,3.30.1,1,CVE-2020-9327,N/A,wrong_version
sqlite-3.30.1_v35_run1,3.30.1,1,CVE-2020-13435,N/A,wrong_version
sqlite-3.30.1_v35_run1,3.30.1,1,CVE-2020-15358,N/A,wrong_version
sqlite-3.30.1_v35_run2,3.30.1,2,CVE-2020-13871,N/A,wrong_version
sqlite-3.30.1_v35_run2,3.30.1,2,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*f', 2147483647, -1e308); CREATE TABLE IF N"""
sqlite-3.30.1_v35_run2,3.30.1,2,CVE-2020-9327,N/A,wrong_version
sqlite-3.30.1_v35_run2,3.30.1,2,CVE-2020-13435,N/A,wrong_version
sqlite-3.30.1_v35_run2,3.30.1,2,CVE-2020-15358,N/A,wrong_version
sqlite-3.30.1_v35_run3,3.30.1,3,CVE-2020-13871,N/A,wrong_version
sqlite-3.30.1_v35_run3,3.30.1,3,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', 2147483647, 0.01); CREATE TABLE IF NOT"""
sqlite-3.30.1_v35_run3,3.30.1,3,CVE-2020-9327,N/A,wrong_version
sqlite-3.30.1_v35_run3,3.30.1,3,CVE-2020-13435,N/A,wrong_version
sqlite-3.30.1_v35_run3,3.30.1,3,CVE-2020-15358,N/A,wrong_version
sqlite-3.30.1_v35_run4,3.30.1,4,CVE-2020-13871,N/A,wrong_version
sqlite-3.30.1_v35_run4,3.30.1,4,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*f', 2147483647, 1e308);"""
sqlite-3.30.1_v35_run4,3.30.1,4,CVE-2020-9327,N/A,wrong_version
sqlite-3.30.1_v35_run4,3.30.1,4,CVE-2020-13435,N/A,wrong_version
sqlite-3.30.1_v35_run4,3.30.1,4,CVE-2020-15358,N/A,wrong_version
sqlite-3.30.1_v35_run5,3.30.1,5,CVE-2020-13871,N/A,wrong_version
sqlite-3.30.1_v35_run5,3.30.1,5,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*f', 2147483647, 1e308);"""
sqlite-3.30.1_v35_run5,3.30.1,5,CVE-2020-9327,N/A,wrong_version
sqlite-3.30.1_v35_run5,3.30.1,5,CVE-2020-13435,N/A,wrong_version
sqlite-3.30.1_v35_run5,3.30.1,5,CVE-2020-15358,N/A,wrong_version
sqlite-3.31.1_v35_run1,3.31.1,1,CVE-2020-13871,N/A,wrong_version
sqlite-3.31.1_v35_run1,3.31.1,1,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', -2147483649, 0.01);"""
sqlite-3.31.1_v35_run1,3.31.1,1,CVE-2020-9327,no,
sqlite-3.31.1_v35_run1,3.31.1,1,CVE-2020-13435,N/A,wrong_version
sqlite-3.31.1_v35_run1,3.31.1,1,CVE-2020-15358,N/A,wrong_version
sqlite-3.31.1_v35_run2,3.31.1,2,CVE-2020-13871,N/A,wrong_version
sqlite-3.31.1_v35_run2,3.31.1,2,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', 2147483647, 0.01);"""
sqlite-3.31.1_v35_run2,3.31.1,2,CVE-2020-9327,no,
sqlite-3.31.1_v35_run2,3.31.1,2,CVE-2020-13435,N/A,wrong_version
sqlite-3.31.1_v35_run2,3.31.1,2,CVE-2020-15358,N/A,wrong_version
sqlite-3.31.1_v35_run3,3.31.1,3,CVE-2020-13871,N/A,wrong_version
sqlite-3.31.1_v35_run3,3.31.1,3,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*f', -2147483649, -1e308); SELECT printf('%"""
sqlite-3.31.1_v35_run3,3.31.1,3,CVE-2020-9327,no,
sqlite-3.31.1_v35_run3,3.31.1,3,CVE-2020-13435,N/A,wrong_version
sqlite-3.31.1_v35_run3,3.31.1,3,CVE-2020-15358,N/A,wrong_version
sqlite-3.31.1_v35_run4,3.31.1,4,CVE-2020-13871,N/A,wrong_version
sqlite-3.31.1_v35_run4,3.31.1,4,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', 2147483647, 0.01);"""
sqlite-3.31.1_v35_run4,3.31.1,4,CVE-2020-9327,no,
sqlite-3.31.1_v35_run4,3.31.1,4,CVE-2020-13435,N/A,wrong_version
sqlite-3.31.1_v35_run4,3.31.1,4,CVE-2020-15358,N/A,wrong_version
sqlite-3.31.1_v35_run5,3.31.1,5,CVE-2020-13871,N/A,wrong_version
sqlite-3.31.1_v35_run5,3.31.1,5,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', 2147483647, 0.01);"""
sqlite-3.31.1_v35_run5,3.31.1,5,CVE-2020-9327,no,
sqlite-3.31.1_v35_run5,3.31.1,5,CVE-2020-13435,N/A,wrong_version
sqlite-3.31.1_v35_run5,3.31.1,5,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.0_v35_run1,3.32.0,1,CVE-2020-13871,N/A,wrong_version
sqlite-3.32.0_v35_run1,3.32.0,1,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', -2147483649, 0.01); CREATE TABLE IF NO"""
sqlite-3.32.0_v35_run1,3.32.0,1,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.0_v35_run1,3.32.0,1,CVE-2020-13435,yes,hash=9411c5875a64a648
sqlite-3.32.0_v35_run1,3.32.0,1,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.0_v35_run2,3.32.0,2,CVE-2020-13871,N/A,wrong_version
sqlite-3.32.0_v35_run2,3.32.0,2,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*f', 2147483647, -1e308);"""
sqlite-3.32.0_v35_run2,3.32.0,2,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.0_v35_run2,3.32.0,2,CVE-2020-13435,yes,hash=9411c5875a64a648
sqlite-3.32.0_v35_run2,3.32.0,2,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.0_v35_run3,3.32.0,3,CVE-2020-13871,N/A,wrong_version
sqlite-3.32.0_v35_run3,3.32.0,3,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', -2147483649, 0.01); CREATE TABLE IF NO"""
sqlite-3.32.0_v35_run3,3.32.0,3,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.0_v35_run3,3.32.0,3,CVE-2020-13435,yes,hash=9411c5875a64a648
sqlite-3.32.0_v35_run3,3.32.0,3,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.0_v35_run4,3.32.0,4,CVE-2020-13871,N/A,wrong_version
sqlite-3.32.0_v35_run4,3.32.0,4,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', 2147483647, 0.01);"""
sqlite-3.32.0_v35_run4,3.32.0,4,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.0_v35_run4,3.32.0,4,CVE-2020-13435,yes,hash=9411c5875a64a648
sqlite-3.32.0_v35_run4,3.32.0,4,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.0_v35_run5,3.32.0,5,CVE-2020-13871,N/A,wrong_version
sqlite-3.32.0_v35_run5,3.32.0,5,CVE-2020-13434,yes,"func=sqlite3_str_vappendf subtype=signed-integer-overflow sql=""SELECT printf('%.*g', -2147483649, 0.01);"""
sqlite-3.32.0_v35_run5,3.32.0,5,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.0_v35_run5,3.32.0,5,CVE-2020-13435,yes,hash=9411c5875a64a648
sqlite-3.32.0_v35_run5,3.32.0,5,CVE-2020-15358,N/A,wrong_version
sqlite-3.32.2_v35_run1,3.32.2,1,CVE-2020-13871,no,
sqlite-3.32.2_v35_run1,3.32.2,1,CVE-2020-13434,N/A,wrong_version
sqlite-3.32.2_v35_run1,3.32.2,1,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.2_v35_run1,3.32.2,1,CVE-2020-13435,N/A,wrong_version
sqlite-3.32.2_v35_run1,3.32.2,1,CVE-2020-15358,yes,"sql_pattern=INTERSECT sql='CREATE TABLE IF NOT EXISTS p(a DATE, b AS(b) UNIQUE); VALUES (CURRENT_TIMESTAMP)'"
sqlite-3.32.2_v35_run2,3.32.2,2,CVE-2020-13871,no,
sqlite-3.32.2_v35_run2,3.32.2,2,CVE-2020-13434,N/A,wrong_version
sqlite-3.32.2_v35_run2,3.32.2,2,CVE-2020-9327,N/A,wrong_version
