campaign_id,grammar,sqlite_version,run,bug_hash,bug_type,bug_subtype,key_function,crash_count,sample_sql
ebnf_sqlite-3.31.1_run1,ebnf,sqlite-3.31.1,1,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,131,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(_rowid_, _rowid_, c3); BEGIN EXCLUSIVE TRANSACTION; INSERT INTO t1 VALUES (CASE NOT EXISTS (SELECT DISTINCT *, NULL AS a LIMIT CURRENT_DATE OFFSET "
ebnf_sqlite-3.31.1_run2,ebnf,sqlite-3.31.1,2,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,112,"ATTACH DATABASE ':memory:' AS db2; CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c3, c1); REPLACE INTO t2 VALUES (CURRENT_DATE, ifnull(NOT TRUE ISNULL NOT NULL -> CURRENT_DATE NOT LIKE CURRENT_"
ebnf_sqlite-3.31.1_run3,ebnf,sqlite-3.31.1,3,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,78,CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(_rowid_); REINDEX t3; ANALYZE t1; DELETE FROM t1 WHERE group_concat(-NULL IN (TRUE) MATCH (WITH t1 AS (VALUES (CURRENT_TIMESTAMP) LIMIT FALSE) VALU
ebnf_sqlite-3.31.1_run4,ebnf,sqlite-3.31.1,4,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,129,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(_rowid_, c2, _rowid_, _rowid_); BEGIN IMMEDIATE; COMMIT TRANSACTION; WITH t2 AS MATERIALIZED (SELECT ALL CURRENT_TIME UNION VALUES (CURRENT_TIME)),"
ebnf_sqlite-3.31.1_run5,ebnf,sqlite-3.31.1,5,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,131,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c1); COMMIT; REINDEX t2; CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c1, _rowid_);"
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,33,"SELECT printf('%.*f', 2147483647, -1e308);"
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,30,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(b, c1); INSERT INTO t2 (c2, b) VALUES (FALSE) ON CONFLICT(c1) DO UPDATE SET b = FALSE IS RAISE(IGNORE) COLLATE NOCASE MATCH CURRENT_DATE AND CURREN"
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,12,"SELECT printf('%.*g', 2147483647, 0.01);"
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,3e9719a6638492ac,ubsan,float-cast-overflow,alsoAnInt,2,CREATE TABLE IF NOT EXISTS p(c2 DATE UNIQUE); CREATE TABLE IF NOT EXISTS q(c2 NUMERIC PRIMARY KEY); INSERT OR ABORT INTO q VALUES (TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE 
v3.3_sqlite-3.31.1_run1,v3.3,sqlite-3.31.1,1,c0c113d15a713f84,ubsan,float-cast-overflow,alsoAnInt,1,CREATE TABLE IF NOT EXISTS p(c2 DATE UNIQUE); CREATE TABLE IF NOT EXISTS q(c2 NUMERIC PRIMARY KEY); INSERT OR ABORT INTO q VALUES (TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE 
